ant,id,Score,Viewcount,Body
1,927358,20179,8193548,"<p>I accidentally committed the wrong files to <a href=""https://en.wikipedia.org/wiki/Git"" rel=""noreferrer"">Git</a>, but I haven't pushed the commit to the server yet.</p>

<p><strong>How can I undo those commits from the local repository?</strong> </p>
"
2,2003505,16071,7645813,"<p>I want to delete a branch both locally and remotely.</p>

<h2>Failed Attempts to Delete Remote Branch</h2>

<pre class=""lang-sh prettyprint-override""><code>$ git branch -d remotes/origin/bugfix
error: branch 'remotes/origin/bugfix' not found.

$ git branch -d origin/bugfix
error: branch 'origin/bugfix' not found.

$ git branch -rd origin/bugfix
Deleted remote branch origin/bugfix (was 2a14ef7).

$ git push
Everything up-to-date

$ git pull
From github.com:gituser/gitproject
* [new branch] bugfix -&gt; origin/bugfix
Already up-to-date.
</code></pre>

<p>What should I do differently to successfully delete the
<code>remotes/origin/bugfix</code> branch both locally and remotely?</p>
"
3,5767325,7525,6047574,"<p>I have an array of numbers, and I'm using the <code>.push()</code> method to add elements to it.</p>

<p>Is there a simple way to remove a specific element from an array? The equivalent of something like <code>array.remove(number);</code>.</p>

<p>I have to use <em>core</em> JavaScript - frameworks are not allowed.</p>
"
4,16956810,4836,6046063,"<p>I'm trying to find a way to scan my entire Linux system for all files containing a specific string of text. Just to clarify, I'm looking for text within the file, not in the file name.</p>

<p>When I was looking up how to do this, I came across this solution twice:</p>

<pre><code>find / -type f -exec grep -H 'text-to-find-here' {} \;
</code></pre>

<p>However, it doesn't work. It seems to display every single file in the system.</p>

<p>Is this close to the proper way to do it? If not, how should I? This ability to find text strings in files would be extraordinarily useful for some programming projects I'm doing.</p>
"
5,503093,7727,5906104,"<p>How can I redirect the user from one page to another using jQuery or pure JavaScript?</p>
"
6,5585779,2863,5773267,"<p>How can I convert a <code>String</code> to an <code>int</code> in Java?</p>

<p>My String contains only numbers, and I want to return the number it represents.</p>

<p>For example, given the string <code>""1234""</code> the result should be the number <code>1234</code>.</p>
"
7,1789945,7431,5757142,"<p>Usually I would expect a <code>String.contains()</code> method, but there doesn't seem to be one. </p>

<p>What is a reasonable way to check for this?</p>
"
8,2906582,1744,5650140,"<p>I would like to create an HTML button that acts like a link. So, when you click the button, it redirects to a page. I would like it to be as accessible as possible.</p>

<p>I would also like it so there aren't any extra characters, or parameters in the URL.</p>

<p>How can I achieve this?</p>

<hr>

<p>Based on the answers posted so far, I am currently doing this:</p>

<pre><code>&lt;form method=""get"" action=""/page2""&gt;
    &lt;button type=""submit""&gt;Continue&lt;/button&gt;
&lt;/form&gt;
</code></pre>

<p>but the problem with this is that in <a href=""http://en.wikipedia.org/wiki/Safari_%28web_browser%29"" rel=""noreferrer"">Safari</a> and <a href=""http://en.wikipedia.org/wiki/Internet_Explorer"" rel=""noreferrer"">Internet&nbsp;Explorer</a>, it adds a question mark character to the end of the URL. I need to find a solution that doesn't add any characters to the end of the URL.</p>

<p>There are two other solutions to do this: Using JavaScript or styling a link to look like a button.</p>

<p>Using JavaScript:</p>

<pre><code>&lt;button onclick=""window.location.href='/page2'""&gt;Continue&lt;/button&gt;
</code></pre>

<p>But this obviously requires JavaScript, and for that reason it is less accessible to screen readers. The point of a link is to go to another page. So trying to make a button act like a link is the wrong solution. My suggestion is that you should use a link and <a href=""https://stackoverflow.com/questions/710089/how-do-i-make-an-html-link-look-like-a-button"">style it to look like a button</a>.</p>

<pre><code>&lt;a href=""/link/to/page2""&gt;Continue&lt;/a&gt;
</code></pre>
"
9,4114095,7182,5405743,"<p>How do I revert from my current state to a snapshot made on a certain commit?</p>

<p>If I do <code>git log</code>, then I get the following output:</p>

<pre><code>$ git log
commit a867b4af366350be2e7c21b8de9cc6504678a61b`
Author: Me &lt;me@me.com&gt;
Date:   Thu Nov 4 18:59:41 2010 -0400

blah blah blah...

commit 25eee4caef46ae64aa08e8ab3f988bc917ee1ce4
Author: Me &lt;me@me.com&gt;
Date:   Thu Nov 4 05:13:39 2010 -0400

more blah blah blah...

commit 0766c053c0ea2035e90f504928f8df3c9363b8bd
Author: Me &lt;me@me.com&gt;
Date:   Thu Nov 4 00:55:06 2010 -0400

And yet more blah blah...

commit 0d1d7fc32e5a947fbd92ee598033d85bfc445a50
Author: Me &lt;me@me.com&gt;
Date:   Wed Nov 3 23:56:08 2010 -0400

Yep, more blah blah.
</code></pre>

<p>How do revert to the commit from November 3, i.e. commit <code>0d1d7fc</code>?</p>
"
10,1783405,6359,4922381,"<p>Somebody pushed a branch called <code>test</code> with <code>git push origin test</code> to a shared repository. I can see the branch with <code>git branch -r</code>.</p>

<p>Now I'm trying to check out the remote <code>test</code> branch.</p>

<p>I've tried:</p>

<ul>
<li><p><code>git checkout test</code> which does nothing</p></li>
<li><p><code>git checkout origin/test</code> gives <code>* (no branch)</code>. Which is confusing. How can I be on ""no branch""?</p></li>
</ul>

<p>How do I check out a remote Git branch?</p>
"
11,4366730,2663,4634506,"<p>Consider:</p>

<pre><code>$a = 'How are you?';

if ($a contains 'are')
    echo 'true';
</code></pre>

<p>Suppose I have the code above, what is the correct way to write the statement <code>if ($a contains 'are')</code>?</p>
"
12,1200621,1926,4298985,"<p>How do I declare and initialize an array in Java?</p>
"
13,1125968,6554,4165607,"<p>How do I force an overwrite of local files on a <code>git pull</code>?</p>

<p>The scenario is following:</p>

<ul>
<li>A team member is modifying the templates for a website we are working on</li>
<li>They are adding some images to the images directory (but forgets to add them under source control)</li>
<li>They are sending the images by mail, later, to me</li>
<li>I'm adding the images under the source control and pushing them to GitHub together with other changes</li>
<li>They cannot pull updates from GitHub because Git doesn't want to overwrite their files.</li>
</ul>

<p>This is the error I'm getting:</p>

<blockquote>
  <p>error: Untracked working tree file 'public/images/icon.gif' would be overwritten by merge</p>
</blockquote>

<p>How do I force Git to overwrite them? The person is a designer - usually I resolve all the conflicts by hand, so the server has the most recent version that they just needs to update on their computer.</p>
"
14,3294889,2859,4073562,"<p>I am a bit puzzled by the following code:</p>

<pre><code>d = {'x': 1, 'y': 2, 'z': 3} 
for key in d:
    print key, 'corresponds to', d[key]
</code></pre>

<p>What I don't understand is the <code>key</code> portion. How does Python recognize that it needs only to read the key from the dictionary? Is <code>key</code> a special word in Python? Or is it simply a variable?</p>
"
15,2334712,3510,4039003,"<p>In <strong>SQL Server</strong>, it's possible to <code>insert</code> into a table using a <code>SELECT</code> statement:</p>

<pre><code>INSERT INTO Table (col1, col2, col3)
SELECT col1, col2, col3 
FROM other_table 
WHERE sql = 'cool'
</code></pre>

<p>Is it also possible to <em>update</em> via a <code>SELECT</code>? I have a temporary table containing the values and would like to update another table using those values. Perhaps something like this:</p>

<pre><code>UPDATE Table SET col1, col2
SELECT col1, col2 
FROM other_table 
WHERE sql = 'cool'
WHERE Table.id = other_table.id
</code></pre>
"
